collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_oxa_193_complete,x50s_l22_a103v_point,gyr_a_t86i_point,bla_oxa_complete,tet_o_complete,aph_3_ii_ia_complete,gentamicin
2016,environmental/other,2,5,USA,chicken,2,0.9653495909862632,0.8697674418604651,1,0,0,0,1,1,1
2016,environmental/other,0,0,USA,chicken,2,0.9653495909862632,1,1,0,0,0,1,0,1
2017,environmental/other,6,9,USA,chicken,1,0.9653495909862632,0.8166666666666667,1,0,0,0,1,1,1
2017,environmental/other,4,4,USA,chicken,2,0.9653495909862632,1,1,0,0,0,1,0,1
2017,environmental/other,0,0,USA,chicken,2,0.9653495909862632,0.9348837209302324,1,0,0,0,1,0,1
2018,environmental/other,3,3,USA,chicken,2,0.9653495909862632,1,1,0,0,0,1,0,1
2018,environmental/other,1,6,USA,chicken,2,0.9653495909862632,1,1,0,0,1,1,0,1
2018,environmental/other,4,4,USA,chicken,2,0.9653495909862632,1,1,0,0,0,1,0,1
2018,environmental/other,8,2,USA,chicken,1,0.8616298811544991,1,1,0,0,0,0,0,1
2019,environmental/other,2,2,USA,other/unspecified,2,0.8800354993054483,1,1,0,0,0,1,1,1
2019,environmental/other,1,10,USA,chicken,1,0.9653495909862632,1,1,0,0,0,1,0,1
2019,environmental/other,5,5,USA,chicken,2,0.8800354993054483,0.4444444444444444,1,0,0,0,1,0,1
2019,environmental/other,1,5,USA,chicken,2,0.9653495909862632,1,1,0,0,0,1,0,1
2019,environmental/other,2,2,USA,chicken,2,0.8800354993054483,1,1,0,0,0,1,0,1
2019,environmental/other,1,4,USA,chicken,2,0.9653495909862632,1,1,0,0,0,1,0,1
2016,environmental/other,3,20,USA,chicken,1,0.96875,1,0,0,0,0,0,0,1
2017,environmental/other,3,11,USA,chicken,1,0.96875,1,0,0,0,0,0,0,1
2017,environmental/other,2,24,USA,chicken,1,0.96875,1,0,0,0,0,0,0,1
2017,environmental/other,20,23,USA,chicken,0,0.75,0.2624356775300171,0,0,1,0,0,0,1
2018,environmental/other,2,24,USA,chicken,1,0.96875,1,0,0,0,0,0,0,1
2018,environmental/other,2,11,USA,chicken,1,0.96875,1,0,0,0,0,0,0,1
2018,environmental/other,0,12,USA,chicken,1,0.96875,1,0,0,0,0,0,0,1
2019,environmental/other,4,27,USA,chicken,1,0.96875,1,0,0,0,0,0,0,1
2019,environmental/other,0,22,USA,chicken,1,0.96875,1,0,0,0,0,0,0,1
2016,environmental/other,5,6,USA,beef,2,1,1,1,0,0,0,0,0,1
2016,environmental/other,6,5,USA,beef,2,1,1,1,0,0,0,0,0,1
2016,environmental/other,7,5,USA,beef,2,1,0.93446088794926,1,0,0,0,0,0,1
2016,environmental/other,9,10,USA,beef,0,1,0.923529411764706,1,0,0,0,0,0,1
