collection_date,isolation_type,min_same,min_diff,serovar_new,country,isolation_source_new,num_close,antigen_formula_new,suscept_sim,mds_a_complete,mds_b_complete,sul2_complete,sul1_complete,bla_tem_1_complete,aad_a1_complete,fos_a7_complete,bla_cmy_2_complete,tet_a_complete,aph_3_ib_complete,aph_6_id_complete,tet_b_complete,streptomycin
2013,environmental/other,4,5,Saintpaul,USA,pork,2,"4:e,h:1,2",0.9141630901287554,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,8,10,Saintpaul,USA,pork,0,Other,0.9570815450643776,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,6,8,Saintpaul,USA,pork,1,"4:e,h:1,2",0.9570815450643776,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,2,23,Other,USA,pork,1,Other,0.7315340909090908,1,1,0,1,1,0,0,0,0,0,0,1,1
2019,environmental/other,8,13,Other,USA,pork,0,Other,0.5894601261421303,1,1,0,1,0,0,0,0,0,0,0,1,0
2018,environmental/other,8,15,Kentucky,USA,chicken,0,8:i:z6,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2019,environmental/other,5,21,Kentucky,USA,chicken,1,8:i:z6,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2005,environmental/other,20,36,Other,USA,turkey,0,Other,0.851528384279476,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,10,0,Other,USA,chicken,1,Other,0.925764192139738,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,5,37,Other,USA,pork,1,Other,0.925764192139738,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,14,34,Kentucky,USA,chicken,0,8:i:z6,0.9198855507868384,1,1,0,0,0,0,0,0,0,1,1,1,0
2012,environmental/other,18,10,Other,USA,chicken,0,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2012,environmental/other,18,8,Other,USA,turkey,0,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2002,environmental/other,9,19,Other,USA,chicken,0,"4:r:1,2",0.8228596184253533,1,1,0,1,0,1,1,0,0,1,1,1,0
2006,environmental/other,1,5,Heidelberg,USA,chicken,2,"4:r:1,2",0.873785074316246,1,1,0,1,0,1,1,0,0,1,1,0,0
2006,environmental/other,2,2,Heidelberg,USA,chicken,2,"4:r:1,2",0.800483525745528,1,1,0,0,0,0,1,0,0,1,1,0,0
2006,environmental/other,8,8,Heidelberg,USA,chicken,0,Other,0.873785074316246,1,1,0,1,0,1,1,0,0,1,1,0,0
2013,environmental/other,17,27,Heidelberg,USA,chicken,0,"4:r:1,2",0.7043395326657129,1,1,0,0,0,0,1,0,0,0,0,0,1
2006,environmental/other,2,2,Heidelberg,USA,chicken,2,"4:r:1,2",0.873785074316246,1,1,0,1,0,1,1,0,0,1,1,0,0
2011,environmental/other,5,39,Other,USA,chicken,1,"4:r:1,2",0.8053648184190778,1,1,0,1,0,1,1,0,0,1,1,0,0
2016,environmental/other,6,10,Heidelberg,USA,chicken,1,"4:r:1,2",0.4628689599652375,1,1,0,1,0,1,1,1,0,1,1,1,0
2015,environmental/other,29,70,Kentucky,USA,chicken,0,8:i:z6,0.9001501501501502,1,1,0,0,0,0,0,0,0,0,0,0,1
2015,environmental/other,20,49,Kentucky,USA,chicken,0,8:i:z6,0.801051051051051,1,1,0,0,1,0,0,0,0,0,0,0,1
2017,environmental/other,4,33,Kentucky,USA,other/unspecified,1,8:i:z6,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2017,environmental/other,4,33,Kentucky,USA,chicken,1,8:i:z6,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,2,35,Kentucky,USA,other/unspecified,1,8:i:z6,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2018,environmental/other,7,36,Kentucky,USA,chicken,1,Other,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2018,environmental/other,5,34,Kentucky,USA,chicken,1,8:i:z6,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,1,40,Kentucky,USA,chicken,1,8:i:z6,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,7,39,Infantis,USA,chicken,1,8:i:z6,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,7,40,Kentucky,USA,chicken,1,8:i:z6,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,13,24,Kentucky,USA,chicken,0,8:i:z6,0.9744744744744744,1,1,0,0,0,0,0,0,0,0,0,0,1
2007,environmental/other,20,49,Other,USA,beef,0,Other,0.851528384279476,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,5,58,Other,USA,beef,1,Other,0.925764192139738,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,0,42,Other,USA,pork,1,Other,0.8936340186340186,1,1,0,0,0,0,0,0,0,0,0,1,1
2016,environmental/other,0,42,Other,USA,pork,1,Other,0.8936340186340186,1,1,0,0,0,0,0,0,0,0,0,1,1
2016,environmental/other,3,39,Other,USA,pork,1,Other,0.8936340186340186,1,1,0,0,0,0,0,0,0,0,0,1,1
2017,environmental/other,0,37,Other,USA,turkey,1,Other,0.8603603603603603,1,1,0,0,0,0,0,0,0,0,0,0,1
2017,environmental/other,0,37,Other,USA,turkey,1,Other,0.66867353435033,1,1,0,0,0,0,0,0,0,0,0,0,1
2018,environmental/other,0,15,Other,USA,turkey,1,Other,0.7210482045999069,1,1,0,1,0,0,0,0,0,0,0,1,1
2018,environmental/other,0,15,Other,USA,turkey,1,Other,0.8936340186340186,1,1,0,0,0,0,0,0,0,0,0,1,1
2019,environmental/other,0,31,Other,USA,turkey,1,Other,0.8936340186340186,1,1,0,0,0,0,0,0,0,0,0,1,1
2017,environmental/other,3,28,Other,USA,turkey,1,Other,0.7557817469632174,1,1,0,1,0,1,0,0,0,0,0,0,0
2016,environmental/other,1,0,Other,USA,pork,2,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2005,environmental/other,7,10,Schwarzengrund,USA,turkey,1,Other,0.6402722631877482,1,1,0,0,1,0,0,0,0,1,1,1,0
2012,environmental/other,4,12,Schwarzengrund,USA,turkey,1,Other,0.8240121005861222,1,1,0,0,0,0,0,0,0,1,1,1,0
2006,environmental/other,5,5,Schwarzengrund,USA,turkey,2,Other,0.7565891472868217,1,1,0,0,0,0,0,0,0,1,1,1,1
2012,environmental/other,4,10,Schwarzengrund,USA,turkey,1,Other,0.8240121005861222,1,1,0,0,0,0,0,0,0,1,1,1,0
2002,environmental/other,9,33,Other,USA,pork,0,Other,0.978448275862069,1,1,0,0,0,0,0,0,0,0,0,0,1
2007,environmental/other,9,38,Other,USA,beef,0,Other,0.978448275862069,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,4,23,Other,USA,chicken,1,Other,0.8560814407135557,1,1,0,0,0,0,0,0,0,0,0,0,1
2018,environmental/other,10,30,Kentucky,USA,chicken,1,8:i:z6,0.7829785837541983,1,1,0,0,0,0,0,0,0,1,1,1,0
2014,environmental/other,5,6,Other,USA,pork,2,Other,0.8949706944511469,1,1,0,0,0,0,0,0,0,0,0,0,1
2014,clinical,15,30,Other,USA,stool,0,Other,0.7369079159314689,1,1,1,0,1,1,0,0,1,0,0,0,1
2014,environmental/other,3,13,Other,USA,pork,1,Other,0.8783939661777761,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,1,11,Other,USA,pork,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2017,environmental/other,3,20,Kentucky,USA,chicken,1,8:i:z6,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2017,environmental/other,4,22,Kentucky,USA,chicken,1,8:i:z6,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2014,environmental/other,8,8,Other,USA,pork,0,Other,0.9041060291060292,1,1,0,0,0,0,0,0,0,0,0,1,1
2016,environmental/other,0,7,Other,USA,pork,2,Other,0.9450796950796952,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,4,11,Other,USA,pork,1,Other,0.9450796950796952,1,1,0,0,0,0,0,0,0,0,0,1,1
2016,environmental/other,5,5,Other,USA,pork,2,Other,0.8972972972972972,1,1,0,0,0,0,0,0,0,0,0,0,1
2002,environmental/other,0,28,Other,USA,turkey,1,Other,0.8110492845786964,1,1,0,0,0,0,0,0,1,1,1,0,0
2003,environmental/other,1,33,Other,USA,turkey,1,Other,0.8089415210551801,1,1,0,1,1,1,0,0,0,1,0,0,0
2007,environmental/other,5,34,Other,USA,turkey,1,Other,0.8141099224847979,1,1,0,0,1,0,0,0,1,1,1,0,0
2006,environmental/other,7,8,Kentucky,USA,turkey,1,8:i:z6,0.787375415282392,1,1,0,0,0,0,0,0,0,0,0,0,1
2005,environmental/other,9,15,Kentucky,USA,turkey,0,8:i:z6,0.787375415282392,1,1,0,0,0,0,0,0,0,0,0,0,1
2009,environmental/other,8,12,Kentucky,USA,turkey,0,8:i:z6,0.7498496337412451,1,1,0,0,1,1,0,0,1,0,0,0,1
2014,environmental/other,20,17,Kentucky,USA,turkey,0,8:i:z6,0.734858230956289,1,1,0,0,0,0,0,0,0,1,1,1,0
2014,clinical,22,24,Reading,USA,stool,0,8:i:z6,0.7852191413237924,1,1,0,0,0,0,0,0,0,0,0,0,1
2018,environmental/other,8,13,Kentucky,USA,turkey,0,8:i:z6,0.697230555552194,1,1,0,0,1,0,0,0,0,0,0,1,1
2019,environmental/other,1,1,Kentucky,USA,turkey,2,8:i:z6,0.784487605417838,1,1,0,0,0,0,0,0,0,0,0,0,1
2018,environmental/other,4,5,Kentucky,USA,turkey,2,8:i:z6,0.5121696043507985,1,1,0,0,1,0,0,0,0,0,0,1,0
2005,environmental/other,0,11,Other,USA,turkey,1,Other,0.8602620087336245,1,1,0,0,0,0,0,0,0,0,0,0,1
2009,environmental/other,6,13,Other,USA,turkey,1,Other,0.7730568996944542,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,environmental/other,1,3,Other,USA,turkey,2,Other,0.8574163683333988,1,1,0,0,0,0,0,0,0,0,0,0,1
2018,environmental/other,2,6,Other,USA,chicken,2,Other,0.8574163683333988,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,9,20,Kentucky,USA,chicken,0,8:i:z6,0.9729729729729728,1,1,0,0,0,0,0,0,0,1,1,0,0
2019,environmental/other,3,9,Kentucky,USA,chicken,1,8:i:z6,0.954954954954955,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,0,6,Kentucky,USA,chicken,2,8:i:z6,0.9729729729729728,1,1,0,0,0,0,0,0,0,1,1,0,0
2019,environmental/other,0,6,Kentucky,USA,chicken,2,8:i:z6,0.9729729729729728,1,1,0,0,0,0,0,0,0,1,1,0,0
2019,environmental/other,4,10,Kentucky,USA,chicken,1,8:i:z6,0.9729729729729728,1,1,0,0,0,0,0,0,0,1,1,0,0
2019,environmental/other,5,1,Kentucky,USA,chicken,2,8:i:z6,0.954954954954955,1,1,0,0,0,0,0,0,0,0,0,0,1
2009,environmental/other,1,39,Kentucky,USA,chicken,1,8:i:z6,0.6600097634580393,1,1,0,0,0,0,0,0,0,0,0,0,1
2014,environmental/other,26,29,Kentucky,USA,chicken,0,8:i:z6,0.6374872409355168,1,1,1,0,0,0,0,0,0,0,1,0,1
2017,environmental/other,3,26,Kentucky,USA,other/unspecified,1,8:i:z6,0.7162162162162162,1,1,0,0,0,0,0,0,0,0,0,0,1
2010,environmental/other,0,33,Kentucky,USA,chicken,1,8:i:z6,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2010,environmental/other,1,37,Kentucky,USA,chicken,1,8:i:z6,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,clinical,7,7,Typhimurium,USA,stool,2,"4:i:1,2",0.56476683937823835,1,1,0,1,0,0,0,0,0,0,0,0,0
2018,environmental/other,6,3,Typhimurium,USA,pork,2,"4:i:1,2",0.56476683937823835,1,1,0,1,0,0,0,0,0,0,0,0,0
2014,environmental/other,3,7,Other,USA,beef,2,Other,0.8927038626609443,1,1,0,0,0,0,0,0,0,0,0,0,1
2014,environmental/other,14,6,Typhimurium,USA,beef,1,"4:i:1,2",0.7943738511947575,1,1,1,1,0,0,0,1,1,1,1,0,0
2016,clinical,4,15,Typhimurium,USA,stool,1,"4:i:1,2",0.9040597778310556,1,1,1,1,0,0,0,1,1,1,1,0,0
2019,environmental/other,14,9,Kentucky,USA,turkey,0,"4:i:1,2",0.8350515463917526,1,1,1,1,0,0,0,1,1,1,1,0,0
2016,environmental/other,6,5,Other,USA,pork,2,Other,0.8648648648648649,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,5,4,Other,USA,pork,2,Other,0.8648648648648649,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,14,44,Other,USA,pork,0,Other,0.7297297297297297,1,1,1,0,0,0,0,0,1,1,1,0,0
2014,environmental/other,15,12,Typhimurium var. 5-,USA,chicken,0,"4:i:1,2",0.9140625,1,1,1,0,0,0,0,1,1,0,0,0,1
2016,environmental/other,9,10,Typhimurium,USA,chicken,0,"4:i:1,2",0.9828125,1,1,1,0,0,0,0,1,1,0,0,0,1
