"collection_date","location","isolation_type","snp_cluster","min_same","min_diff","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
2013,"USA: GA","environmental/other","PDS000032576.34",4,5,"Saintpaul","Saintpaul","USA","pork",2,"4:e,h:1,2",0.914163090128755,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2016,"USA:PA","environmental/other","PDS000032576.34",8,10,"I -:-:-","Saintpaul","USA","pork",0,"Other",0.957081545064378,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2016,"USA:GA","environmental/other","PDS000032576.34",6,8,"Saintpaul","Saintpaul","USA","pork",1,"4:e,h:1,2",0.957081545064378,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2008,"USA:OR","environmental/other","PDS000003480.41",2,23,"I -:f,g:-","Other","USA","pork",1,"Other",0.758582544945019,"1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
2008,"USA:OR","environmental/other","PDS000003480.41",2,23,"Adelaide","Other","USA","pork",1,"Other",0.731534090909091,"1","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0"
2008,"USA:OR","environmental/other","PDS000003480.41",5,26,"I -:f,g:-","Other","USA","pork",1,"Other",0.758582544945019,"1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
2014,"USA:SD","environmental/other","PDS000003480.41",17,22,"Adelaide","Other","USA","pork",0,"Other",0.59461273006135,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2019,"USA:WA","environmental/other","PDS000003480.41",8,13,"Adelaide","Other","USA","pork",0,"Other",0.58946012614213,"1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1"
2018,"USA:MO","environmental/other","PDS000030463.33",8,15,"Kentucky","Kentucky","USA","chicken",0,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
2019,"USA:MO","environmental/other","PDS000030463.33",5,21,"Kentucky","Kentucky","USA","chicken",1,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
