organism_group,strain,collection_date,serovar,isolate,location,isolation_source,isolation_type,snp_cluster,min_same,min_diff,amr_genotypes,computed_types,serovar_new,resist,suscept,inter,suscept_dose_dep,country,isolation_source_new,suscept_sim,resist_sim,inter_sim,sdd_sim
Campylobacter jejuni,CVM N16C080,2016,NA,PDT000244863.2,USA:MO,chicken breast,environmental/other,PDS000111496.14,2,5,"ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,sat4=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N16C238,2016,NA,PDT000245060.2,USA:CO,chicken breast,environmental/other,PDS000111496.14,0,0,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N17C271,2017,NA,PDT000345374.1,USA:CO,chicken thighs,environmental/other,PDS000111496.14,6,9,"ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,sat4=COMPLETE,tet(O)=COMPLETE,tet(O)=PARTIAL",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N17C538,2017,NA,PDT000345679.1,USA:MO,whole - cut in lab,environmental/other,PDS000111496.14,4,7,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,other/unspecified,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N17C820,2017,NA,PDT000363370.1,USA:TN,chicken breast,environmental/other,PDS000111496.14,4,4,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N17C801,2017,NA,PDT000363461.1,USA:MD,chicken legs,environmental/other,PDS000111496.14,0,0,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N18C286,2018,NA,PDT000473068.1,USA:PA,chicken breast,environmental/other,PDS000111496.14,3,3,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N18C347,2018,NA,PDT000473189.1,USA:LA,chicken breast,environmental/other,PDS000111496.14,1,6,"blaOXA-193=COMPLETE,blaOXA=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N18C068,2018,NA,PDT000473382.1,USA:NC,chicken legs,environmental/other,PDS000111496.14,4,4,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N18C261,2018,NA,PDT000521819.1,USA:GA,chicken wings,environmental/other,PDS000111496.14,8,2,blaOXA-193=COMPLETE,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C403,2018,NA,PDT000521830.1,USA:MO,chicken whole - cut in lab,environmental/other,PDS000111496.14,3,5,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,19LA07CB18C1,2019,NA,PDT000565049.1,USA:LA,cb-thighs,environmental/other,PDS000111496.14,2,2,"aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid",,,USA,other/unspecified,0.7664404171548277,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N19C040,2019,NA,PDT000568791.1,USA:NM,chicken breasts,environmental/other,PDS000111496.14,1,10,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,19TN08CB04N-C,2019,NA,PDT000587245.3,USA:TN,chicken breast,environmental/other,PDS000111496.14,5,5,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid",,,USA,chicken,0.7664404171548277,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N19C638,2019,NA,PDT000728815.2,USA:PA,chicken breasts,environmental/other,PDS000111496.14,2,0,"aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid",,,USA,chicken,0.7664404171548277,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,19TX07CB07-C,2019,NA,PDT000767931.1,USA:TX,chicken leg,environmental/other,PDS000111496.14,1,5,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,19CA11CB01-C1,2019,NA,PDT000784457.1,USA:CA,chicken leg,environmental/other,PDS000111496.14,2,2,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid",,,USA,chicken,0.7664404171548277,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N19C217,2019,NA,PDT000843497.1,USA:CO,chicken whole - cut in lab,environmental/other,PDS000111496.14,4,11,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N19C199,2019,NA,PDT000843498.1,USA:NM,chicken thighs,environmental/other,PDS000111496.14,0,1,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N19C198,2019,NA,PDT000843499.1,USA:NM,chicken thighs,environmental/other,PDS000111496.14,1,4,"blaOXA-193=COMPLETE,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N16C562,2016,NA,PDT000245373.2,USA:CO,chicken thighs,environmental/other,PDS000022677.169,3,20,NA,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N17C260,2017,NA,PDT000345497.1,USA:CA,chicken breast,environmental/other,PDS000022677.169,3,11,NA,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N17C267,2017,NA,PDT000345503.1,USA:CO,chicken thighs,environmental/other,PDS000022677.169,2,24,NA,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N17C046,2017,NA,PDT000363515.1,USA:GA,chicken wings,environmental/other,PDS000022677.169,20,23,gyrA_T86I=POINT,NA,NA,"ciprofloxacin, nalidixic acid","azithromycin, clindamycin, erythromycin, florfenicol, gentamicin, telithromycin, tetracycline",,,USA,chicken,0.7360321427521399,0.22173087998887636,1,0.9982837528604119
Campylobacter jejuni,CVM N18C299,2018,NA,PDT000473060.1,USA:MO,chicken breast,environmental/other,PDS000022677.169,2,24,NA,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C003,2018,NA,PDT000473395.1,USA:IA,chicken legs,environmental/other,PDS000022677.169,2,11,NA,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C591,2018,NA,PDT000521760.1,USA:CO,chicken thighs,environmental/other,PDS000022677.169,0,12,NA,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N19C107,2019,NA,PDT000568806.1,USA:IA,chicken thighs,environmental/other,PDS000022677.169,4,27,NA,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N19C209,2019,NA,PDT000599761.1,USA:CA,chicken breasts,environmental/other,PDS000022677.169,0,22,NA,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,FSIS1605704,2016,NA,PDT000107192.2,USA:CA,animal-cattle-dairy cow,environmental/other,PDS000072257.34,1,1,blaOXA-193=COMPLETE,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,beef,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,FSIS1605927,2016,NA,PDT000111633.2,USA:CA,animal-cattle-dairy cow,environmental/other,PDS000072257.34,5,6,blaOXA-193=COMPLETE,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,beef,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,FSIS1606234,2016,NA,PDT000123795.2,USA:WA,animal-cattle-dairy cow,environmental/other,PDS000072257.34,6,5,blaOXA-193=COMPLETE,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,beef,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,FSIS1606592,2016,NA,PDT000131158.2,USA:UT,animal-cattle-dairy cow,environmental/other,PDS000072257.34,7,5,blaOXA-193=COMPLETE,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,beef,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,FSIS1607150,2016,NA,PDT000143018.2,USA:CA,animal-cattle-dairy cow,environmental/other,PDS000072257.34,9,10,blaOXA-193=COMPLETE,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,beef,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N17C007,2017,NA,PDT000345549.1,USA:CA,chicken breast,environmental/other,PDS000072257.34,13,12,blaOXA-193=COMPLETE,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N16C053,2016,NA,PDT000244836.2,USA:LA,chicken breast,environmental/other,PDS000010659.189,11,11,"50S_L22_A103V=POINT,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N16C174,2016,NA,PDT000244954.2,USA:CA,chicken wings,environmental/other,PDS000010659.189,12,10,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N16C425,2016,NA,PDT000245243.2,USA:CA,chicken wings,environmental/other,PDS000010659.189,7,10,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N17C479,2017,NA,PDT000345364.1,USA:IA,chicken legs,environmental/other,PDS000010659.189,2,4,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N17C786,2017,NA,PDT000363298.1,USA:CO,chicken thighs,environmental/other,PDS000010659.189,0,3,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C125,2018,NA,PDT000472931.1,USA:CO,ground turkey,environmental/other,PDS000010659.189,0,3,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,turkey,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C282,2018,NA,PDT000473070.1,USA:MN,chicken breast,environmental/other,PDS000010659.189,7,9,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C340,2018,NA,PDT000473100.1,USA:CA,chicken breast,environmental/other,PDS000010659.189,9,7,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C343,2018,NA,PDT000473136.1,USA:CA,chicken breast,environmental/other,PDS000010659.189,9,10,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C452,2018,NA,PDT000473172.1,USA:TX,chicken breast,environmental/other,PDS000010659.189,14,9,"50S_L22_A103V=POINT,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin",,,USA,chicken,0.8475243414999449,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,CVM N18C411,2018,NA,PDT000473215.1,USA:IA,chicken wings,environmental/other,PDS000010659.189,12,14,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C096,2018,NA,PDT000473416.1,USA:TN,chicken breast,environmental/other,PDS000010659.189,1,4,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N18C593,2018,NA,PDT000521762.1,USA:CO,chicken legs,environmental/other,PDS000010659.189,4,6,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,CVM N19C109,2019,NA,PDT000568800.2,USA:IA,chicken wings,environmental/other,PDS000010659.189,3,4,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
Campylobacter jejuni,19NM09CB14-C,2019,NA,PDT000624882.1,USA:NM,chicken,environmental/other,PDS000010659.189,5,11,"50S_L22_A103V=POINT,tet(O)=COMPLETE",NA,NA,tetracycline,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid",,,USA,chicken,0.7664404171548277,0.383671681209245,1,0.9982837528604119
Campylobacter jejuni,19MO04CB09-C1,2019,NA,PDT000641965.2,USA:MO,chicken breast,environmental/other,PDS000010659.189,0,3,50S_L22_A103V=POINT,NA,NA,,"azithromycin, ciprofloxacin, clindamycin, erythromycin, florfenicol, gentamicin, nalidixic acid, telithromycin, tetracycline",,,USA,chicken,0.8423889975640363,0.43363844393592677,1,0.9982837528604119
