#Organism group,Strain,Source type,Collection date,Host disease,Outbreak,Host,Isolate identifiers,Serovar,Isolate,Create date,AST phenotypes,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Campylobacter jejuni","CVM N16C080",,"2016",,,,"""CVM N16C080"",""SRS2547532""",,"PDT000244863.2","2017-09-28T00:49:26Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MO","chicken breast","environmental/other","PDS000111496.14",2,5,"SAMN07633396","GCA_005021575.1","ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,sat4=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N16C238",,"2016",,,,"""CVM N16C238"",""SRS2547687""",,"PDT000245060.2","2017-09-28T02:45:43Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CO","chicken breast","environmental/other","PDS000111496.14",0,0,"SAMN07633553","GCA_005162985.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C271",,"2017",,,,"""CVM N17C271"",""SRS3530663""",,"PDT000345374.1","2018-07-12T09:59:03Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:CO","Chicken Thighs","environmental/other","PDS000111496.14",6,9,"SAMN09605127","GCA_005326705.1","ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,sat4=COMPLETE,tet(O)=COMPLETE,tet(O)=PARTIAL",
"Campylobacter jejuni","CVM N17C538",,"2017",,,,"""CVM N17C538"",""SRS3530369""",,"PDT000345679.1","2018-07-12T11:59:25Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MO","Whole - cut in lab","environmental/other","PDS000111496.14",4,7,"SAMN09605268","GCA_005332945.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C820",,"2017",,,,"""CVM N17C820"",""SRS3673186""",,"PDT000363370.1","2018-08-15T19:43:18Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:TN","chicken breast","environmental/other","PDS000111496.14",4,4,"SAMN09783401","GCA_005360125.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C801",,"2017",,,,"""CVM N17C801"",""SRS3673096""",,"PDT000363461.1","2018-08-15T19:43:33Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:MD","Chicken Legs","environmental/other","PDS000111496.14",0,0,"SAMN09783383","GCA_005363045.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C286",,"2018",,,,"""CVM N18C286"",""SRS4433523""",,"PDT000473068.1","2019-03-04T15:39:52Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:PA","chicken breast","environmental/other","PDS000111496.14",3,3,"SAMN11047811","GCA_004876305.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C347",,"2018",,,,"""CVM N18C347"",""SRS4433624""",,"PDT000473189.1","2019-03-04T15:40:18Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:LA","chicken breast","environmental/other","PDS000111496.14",1,6,"SAMN11047867","GCA_004878425.1","blaOXA-193=COMPLETE,blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C068",,"2018",,,,"""CVM N18C068"",""SRS4434118""",,"PDT000473382.1","2019-03-04T19:12:09Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=R","USA:NC","Chicken Legs","environmental/other","PDS000111496.14",4,4,"SAMN11047611","GCA_004882265.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N18C261",,"2018",,,,"""CVM N18C261"",""SRS4953297""",,"PDT000521819.1","2019-06-12T23:51:30Z","azithromycin=S,ciprofloxacin=S,clindamycin=S,erythromycin=S,florfenicol=S,gentamicin=S,nalidixic acid=S,telithromycin=S,tetracycline=S","USA:GA","Chicken Wings","environmental/other","PDS000111496.14",8,2,"SAMN12035603","GCA_006360775.1","blaOXA-193=COMPLETE",
