"organism_group","strain","collection_date","serovar","isolate","location","isolation_source","isolation_type","snp_cluster","min_same","min_diff","amr_genotypes","antigen_formula","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","resist_sim","blaEC.COMPLETE","acrF.COMPLETE","mdtM.COMPLETE","sul2.COMPLETE","blaOXA.193.COMPLETE","X50S_L22_A103V.POINT","gyrA_T86I.POINT","blaOXA.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..O...COMPLETE","aph..3....IIIa.COMPLETE","meropenem","ciprofloxacin","tetracycline","ampicillin","gentamicin","erythromycin","azithromycin","clindamycin","nalidixic acid"
"E.coli and Shigella","microbial",2014,NA,"PDT001018073.1","Guadeloupe","blood","clinical",NA,NA,NA,"aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0
"E.coli and Shigella","microbial",2014,NA,"PDT001018074.1","Guadeloupe","blood","clinical",NA,NA,NA,"aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA14=COMPLETE,dfrA17=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parE_I529L=POINT,ptsI_V25I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0
"E.coli and Shigella","microbial",2013,NA,"PDT001018077.1","Guadeloupe","blood","clinical",NA,NA,NA,"aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0
"E.coli and Shigella","EC38",2013,NA,"PDT001018078.1","Guadeloupe","blood","clinical",NA,NA,NA,"acrF=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,emrD=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","microbial",2014,NA,"PDT001018081.1","Guadeloupe","feces","environmental/other",NA,NA,NA,"aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,blaTEM-30=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,dfrA1=COMPLETE,floR=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=PARTIAL,parC_E84K=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0
"E.coli and Shigella","EC28",2013,NA,"PDT001018088.1","Guadeloupe","feces","environmental/other",NA,NA,NA,"acrF=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
"E.coli and Shigella","microbial",2014,NA,"PDT001018091.1","Guadeloupe","blood","clinical",NA,NA,NA,"acrF=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,qnrB19=COMPLETE",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"E.coli and Shigella","microbial",2014,NA,"PDT001018095.1","Guadeloupe","blood","clinical",NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA14=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,sul2=COMPLETE,tet(B)=COMPLETE",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0
"E.coli and Shigella","microbial",2014,NA,"PDT001018097.1","Guadeloupe","blood","clinical",NA,NA,NA,"acrF=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0
"E.coli and Shigella","microbial",2014,NA,"PDT001018098.1","Guadeloupe","blood","clinical",NA,NA,NA,"aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,NA,"Guadeloupe","stool",NA,"Other",NA,NA,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0
