organism_group,strain,collection_date,serovar,isolate,location,isolation_source,isolation_type,snp_cluster,min_same,min_diff,amr_genotypes,computed_types,serovar_new,resist,suscept,inter,suscept_dose_dep,country,isolation_source_new,suscept_sim,resist_sim,inter_sim,sdd_sim
E.coli and Shigella,microbial,2014,NA,PDT001018073.1,Guadeloupe,blood,clinical,NA,NA,NA,"aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,"amoxicillin, cefotaxime, nalidixic acid, tetracycline, ticarcillin, trimethoprim-sulfamethoxazole","amikacin, amoxicillin-clavulanic acid, cefoxitin, ciprofloxacin, gentamicin, imipenem",ceftazidime,,Guadeloupe,stool,0.2943346447696087,0.1816751149441103,0.05147355933781791,0.91441093065223
E.coli and Shigella,microbial,2014,NA,PDT001018074.1,Guadeloupe,blood,clinical,NA,NA,NA,"aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA14=COMPLETE,dfrA17=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parE_I529L=POINT,ptsI_V25I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,"amoxicillin, cefotaxime, ceftazidime, nalidixic acid, tetracycline, ticarcillin, trimethoprim-sulfamethoxazole","amikacin, amoxicillin-clavulanic acid, cefoxitin, ciprofloxacin, gentamicin, imipenem",,,Guadeloupe,stool,0.2943346447696087,0.17704857000474725,0.8102603763856664,0.91441093065223
E.coli and Shigella,microbial,2013,NA,PDT001018077.1,Guadeloupe,blood,clinical,NA,NA,NA,"aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT",NA,NA,"amoxicillin, cefotaxime, ceftazidime, ciprofloxacin, gentamicin, nalidixic acid, ticarcillin","amikacin, amoxicillin-clavulanic acid, cefoxitin, imipenem, tetracycline, trimethoprim-sulfamethoxazole",,,Guadeloupe,stool,0.3692677589558728,0.17026675714721176,0.8102603763856664,0.91441093065223
E.coli and Shigella,EC38,2013,NA,PDT001018078.1,Guadeloupe,blood,clinical,NA,NA,NA,"acrF=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,emrD=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,"amoxicillin, cefotaxime, ceftazidime, tetracycline, ticarcillin","amikacin, amoxicillin-clavulanic acid, cefoxitin, ciprofloxacin, gentamicin, imipenem, nalidixic acid, trimethoprim-sulfamethoxazole",,,Guadeloupe,stool,0.46208274022917983,0.2016085186253846,0.8102603763856664,0.91441093065223
E.coli and Shigella,microbial,2014,NA,PDT001018081.1,Guadeloupe,feces,environmental/other,NA,NA,NA,"aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,blaTEM-30=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,dfrA1=COMPLETE,floR=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=PARTIAL,parC_E84K=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE",NA,NA,"amoxicillin, cefotaxime, ciprofloxacin, nalidixic acid, tetracycline, ticarcillin, trimethoprim-sulfamethoxazole","amikacin, amoxicillin-clavulanic acid, cefoxitin, gentamicin, imipenem",ceftazidime,,Guadeloupe,stool,0.2463622019510651,0.17885775468824888,0.05147355933781791,0.91441093065223
E.coli and Shigella,EC28,2013,NA,PDT001018088.1,Guadeloupe,feces,environmental/other,NA,NA,NA,"acrF=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,"amoxicillin, cefotaxime, tetracycline, ticarcillin","amikacin, amoxicillin-clavulanic acid, cefoxitin, ciprofloxacin, gentamicin, imipenem, nalidixic acid, trimethoprim-sulfamethoxazole",ceftazidime,,Guadeloupe,stool,0.46208274022917983,0.20981676289769852,0.05147355933781791,0.91441093065223
E.coli and Shigella,microbial,2014,NA,PDT001018091.1,Guadeloupe,blood,clinical,NA,NA,NA,"acrF=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE,qnrB19=COMPLETE",NA,NA,"amoxicillin, cefotaxime, ceftazidime, ticarcillin","amikacin, amoxicillin-clavulanic acid, cefoxitin, ciprofloxacin, gentamicin, imipenem, nalidixic acid, tetracycline, trimethoprim-sulfamethoxazole",,,Guadeloupe,stool,0.4873635464139202,0.19044104715093751,0.8102603763856664,0.91441093065223
E.coli and Shigella,microbial,2014,NA,PDT001018095.1,Guadeloupe,blood,clinical,NA,NA,NA,"acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA14=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,sul2=COMPLETE,tet(B)=COMPLETE",NA,NA,"amoxicillin, cefotaxime, ciprofloxacin, nalidixic acid, tetracycline, ticarcillin, trimethoprim-sulfamethoxazole","amikacin, amoxicillin-clavulanic acid, cefoxitin, ceftazidime, gentamicin, imipenem",,,Guadeloupe,stool,0.27209256980615737,0.17885775468824888,0.8102603763856664,0.91441093065223
E.coli and Shigella,microbial,2014,NA,PDT001018097.1,Guadeloupe,blood,clinical,NA,NA,NA,"acrF=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,"amoxicillin, cefotaxime, nalidixic acid, tetracycline, ticarcillin","amikacin, amoxicillin-clavulanic acid, cefoxitin, ceftazidime, ciprofloxacin, gentamicin, imipenem, trimethoprim-sulfamethoxazole",,,Guadeloupe,stool,0.4336898284944675,0.19453514706630953,0.8102603763856664,0.91441093065223
E.coli and Shigella,microbial,2014,NA,PDT001018098.1,Guadeloupe,blood,clinical,NA,NA,NA,"aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT",NA,NA,"amoxicillin, cefotaxime, ceftazidime, ciprofloxacin, nalidixic acid, tetracycline, ticarcillin, trimethoprim-sulfamethoxazole","amikacin, amoxicillin-clavulanic acid, cefoxitin, gentamicin, imipenem",,,Guadeloupe,stool,0.2463622019510651,0.17306865710016417,0.8102603763856664,0.91441093065223
E.coli and Shigella,CVM N19EC0239,2019,NA,PDT001049748.1,USA:NC,pork chop,environmental/other,NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,,"amoxicillin-clavulanic acid, ampicillin, azithromycin, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin, gentamicin, meropenem, nalidixic acid, streptomycin, sulfisoxazole, tetracycline, trimethoprim-sulfamethoxazole",,,USA,pork,0.7163170122666696,0.35215261665377673,0.8102603763856664,0.91441093065223
E.coli and Shigella,CVM N19EC0238,2019,NA,PDT001049749.1,USA:NC,pork chop,environmental/other,NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",NA,NA,,"amoxicillin-clavulanic acid, ampicillin, azithromycin, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin, gentamicin, meropenem, nalidixic acid, streptomycin, sulfisoxazole, tetracycline, trimethoprim-sulfamethoxazole",,,USA,pork,0.7163170122666696,0.35215261665377673,0.8102603763856664,0.91441093065223
E.coli and Shigella,U3790,2016,NA,PDT000838265.1,India,urine,clinical,NA,NA,NA,"aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,dfrA12=COMPLETE,dfrA17=COMPLETE,ftsI_I336IKYRI=POINT,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,tet(B)=COMPLETE",NA,NA,"ceftriaxone, ciprofloxacin, colistin, gentamicin, kanamycin, levofloxacin, meropenem, minocycline, norfloxacin, tetracycline, tigecycline, tobramycin","amikacin, streptomycin",,"erythromycin=, rifampin=",India,urine,0.1157199107975623,0.13635416087348842,0.8102603763856664,0.01970983698312177
E.coli and Shigella,CVM N19EC1013,2019,NA,PDT000844424.1,USA:TX,pork chops,environmental/other,NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",NA,NA,,"amoxicillin-clavulanic acid, ampicillin, azithromycin, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin, gentamicin, meropenem, nalidixic acid, streptomycin, sulfisoxazole, tetracycline, trimethoprim-sulfamethoxazole",,,USA,pork,0.7163170122666696,0.35215261665377673,0.8102603763856664,0.91441093065223
E.coli and Shigella,CVM N19EC0176,2019,NA,PDT000844426.1,USA:SC,pork chop,environmental/other,NA,NA,NA,"blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",NA,NA,tetracycline,"amoxicillin-clavulanic acid, ampicillin, azithromycin, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin, gentamicin, meropenem, nalidixic acid, streptomycin, sulfisoxazole, trimethoprim-sulfamethoxazole",,,USA,pork,0.7123238733924709,0.20639384529264526,0.8102603763856664,0.91441093065223
E.coli and Shigella,CVM N19EC1011,2019,NA,PDT000844429.1,USA:TX,pork chop (bone in),environmental/other,NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,tet(B)=COMPLETE,uhpT_E350Q=POINT",NA,NA,tetracycline,"amoxicillin-clavulanic acid, ampicillin, azithromycin, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin, gentamicin, meropenem, nalidixic acid, streptomycin, sulfisoxazole, trimethoprim-sulfamethoxazole",,,USA,pork,0.7123238733924709,0.20639384529264526,0.8102603763856664,0.91441093065223
E.coli and Shigella,CVM N19EC1010,2019,NA,PDT000844430.1,USA:TX,ground beef (patties),environmental/other,NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",NA,NA,,"amoxicillin-clavulanic acid, ampicillin, azithromycin, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin, gentamicin, meropenem, nalidixic acid, streptomycin, sulfisoxazole, tetracycline, trimethoprim-sulfamethoxazole",,,USA,beef,0.7163170122666696,0.35215261665377673,0.8102603763856664,0.91441093065223
E.coli and Shigella,CVM N19EC1008,2019,NA,PDT000844432.1,USA:TX,ground turkey,environmental/other,NA,NA,NA,"aadA1=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(M)=COMPLETE,uhpT_E350Q=POINT",NA,NA,"chloramphenicol, sulfisoxazole, tetracycline","amoxicillin-clavulanic acid, ampicillin, azithromycin, cefoxitin, ceftriaxone, ciprofloxacin, gentamicin, meropenem, nalidixic acid, streptomycin, trimethoprim-sulfamethoxazole",,,USA,turkey,0.6402011967828096,0.23178192676200784,0.8102603763856664,0.91441093065223
