"organism_group","strain","collection_date","isolate","location","isolation_type","snp_cluster","min_same","min_diff","amr_genotypes","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
"Salmonella enterica","CVM N50422",2013,"PDT000078107.1","USA: GA","environmental/other","PDS000032576.34",4,5,"mdsA=COMPLETE,mdsB=COMPLETE","Saintpaul","Saintpaul","USA","pork",2,"4:e,h:1,2",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1605829",2016,"PDT000114571.2","USA:PA","environmental/other","PDS000032576.34",8,10,"mdsA=COMPLETE,mdsB=COMPLETE","I -:-:-","Saintpaul","USA","pork",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","FSIS1606072",2016,"PDT000123179.2","USA:GA","environmental/other","PDS000032576.34",6,8,"mdsA=COMPLETE,mdsB=COMPLETE","Saintpaul","Saintpaul","USA","pork",1,"4:e,h:1,2",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","NY-N19886",2008,"PDT000101356.2","USA:OR","environmental/other","PDS000003480.41",2,23,"aac(3)-IV=COMPLETE,aadA7=COMPLETE,aph(4)-Ia=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","I -:f,g:-","Other","USA","pork",1,"Other",0,"1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
"Salmonella enterica","NY-N19887",2008,"PDT000101357.2","USA:OR","environmental/other","PDS000003480.41",2,23,"aac(3)-IV=COMPLETE,aadA7=COMPLETE,aph(4)-Ia=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,bleO=PARTIAL_END_OF_CONTIG,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","Adelaide","Other","USA","pork",1,"Other",0,"1","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0"
"Salmonella enterica","NY-N19888",2008,"PDT000101358.2","USA:OR","environmental/other","PDS000003480.41",5,26,"aac(3)-IV=COMPLETE,aadA7=COMPLETE,aph(4)-Ia=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","I -:f,g:-","Other","USA","pork",1,"Other",0,"1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
"Salmonella enterica","CVM N57607F",2014,"PDT000121444.2","USA:SD","environmental/other","PDS000003480.41",17,22,"mdsA=COMPLETE,mdsB=COMPLETE,qnrB19=COMPLETE","Adelaide","Other","USA","pork",0,"Other",0,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Salmonella enterica","19WA12PC09-S1",2019,"PDT000664079.1","USA:WA","environmental/other","PDS000003480.41",8,13,"aac(3)-IV=COMPLETE,aadA7=COMPLETE,aph(4)-Ia=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,qnrB19=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","Adelaide","Other","USA","pork",0,"Other",0,"1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1"
"Salmonella enterica","CVM N18S1503",2018,"PDT000565682.1","USA:MO","environmental/other","PDS000030463.33",8,15,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",0,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
"Salmonella enterica","CVM N19S0230",2019,"PDT000593887.1","USA:MO","environmental/other","PDS000030463.33",5,21,"aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","Kentucky","Kentucky","USA","chicken",1,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
